brand,type,price,available,sold,target
185,40,33.52,131.0,2846.0,0
202,28,100.99,10.0,48.0,0
273,62,28.0,2.0,0.0,0
211,28,49.99,5.0,127.0,0
355,28,9.7,10.0,2.0,0
335,28,44.99,8.0,232.0,0
115,28,33.0,10.0,0.0,0
26,28,33.8,8.0,303.0,0
214,28,22.99,10.0,8.0,0
33,28,49.99,8.0,22.0,0
114,82,17.89,71.0,5263.0,0
58,40,35.09,45.0,755.0,0
64,28,25.57,194.0,472.0,0
114,40,16.44,64.0,315.0,0
140,28,10.99,10.0,29.0,0
202,28,7.99,10.0,333.0,0
335,28,43.99,10.0,109.0,0
11,65,36.65,3.0,22.0,0
101,45,29.99,10.0,315.0,0
33,28,54.99,10.0,9.0,0
279,28,12.49,8.0,490.0,0
101,28,49.99,2.0,15.0,0
12,28,9.25,10.0,290.0,0
61,28,100.99,10.0,13.0,0
35,25,50.68,3.0,7.0,0
170,28,42.0,4.0,11.0,0
82,28,38.92,141.0,2515.0,0
33,28,49.99,4.0,46.0,0
349,28,58.99,10.0,12.0,0
357,28,33.38,76.0,2715.0,0
101,45,29.65,6.0,821.0,0
123,25,18.63,13.0,3185.0,0
122,28,28.05,8.0,299.0,0
192,28,55.1,10.0,39.0,0
208,28,99.99,2.0,3.0,0
349,78,19.75,10.0,33.0,0
58,28,34.08,10.0,4332.0,0
137,28,12.95,4.0,73.0,0
238,28,30.0,3.0,4.0,0
22,67,12.36,417.0,1130.0,0
153,28,43.99,2.0,136.0,0
335,28,51.99,3.0,179.0,0
187,25,79.99,10.0,15.0,0
153,28,43.69,6.0,18.0,0
287,40,35.39,31.0,2209.0,0
122,35,34.28,10.0,5901.0,0
99,28,43.32,10.0,252.0,0
147,28,41.99,3.0,7.0,0
26,28,29.49,5.0,45.0,0
65,28,41.99,4.0,369.0,0
27,39,36.59,175.0,931.0,0
26,28,33.99,3.0,40.0,0
211,28,41.99,10.0,220.0,0
145,28,49.0,7.0,13.0,0
65,28,119.99,10.0,141.0,0
215,28,26.99,6.0,155.0,0
17,40,15.99,216.0,1107.0,0
114,40,19.68,10.0,10259.0,0
82,28,42.28,10.0,796.0,0
102,17,26.99,10.0,69.0,0
355,28,109.95,10.0,416.0,0
197,39,23.75,132.0,417.0,0
65,28,18.99,10.0,25.0,0
79,78,33.0,10.0,232.0,0
211,28,41.49,10.0,61.0,0
64,28,32.12,10.0,7018.0,0
35,28,55.39,10.0,6.0,0
211,28,36.99,8.0,66.0,0
369,28,54.99,10.0,74.0,0
361,28,28.99,3.0,43.0,0
65,28,49.99,6.0,22.0,0
